ruta,carpeta,bytes,usado
"Assets/ARTS/Materiales/M_Amarillo.mat","Assets/ARTS/Materiales",3821,no
"Assets/ARTS/Materiales/M_Azul.mat","Assets/ARTS/Materiales",3818,no
"Assets/ARTS/Materiales/M_Rojo.mat","Assets/ARTS/Materiales",3800,no
"Assets/ARTS/Materiales/New Terrain Layer.terrainlayer","Assets/ARTS/Materiales",703,no
"Assets/ARTS/Slim Shooter Pack/crouching turn 90 left.fbx","Assets/ARTS/Slim Shooter Pack",215905,no
"Assets/ARTS/Slim Shooter Pack/crouching turn 90 right.fbx","Assets/ARTS/Slim Shooter Pack",215905,no
"Assets/ARTS/Slim Shooter Pack/death crouching headshot front.fbx","Assets/ARTS/Slim Shooter Pack",256945,si
"Assets/ARTS/Slim Shooter Pack/death from back headshot.fbx","Assets/ARTS/Slim Shooter Pack",366081,si
"Assets/ARTS/Slim Shooter Pack/death from front headshot.fbx","Assets/ARTS/Slim Shooter Pack",311377,si
"Assets/ARTS/Slim Shooter Pack/death from right.fbx","Assets/ARTS/Slim Shooter Pack",338593,si
"Assets/ARTS/Slim Shooter Pack/death from the back.fbx","Assets/ARTS/Slim Shooter Pack",323393,si
"Assets/ARTS/Slim Shooter Pack/death from the front.fbx","Assets/ARTS/Slim Shooter Pack",346369,si
"Assets/ARTS/Slim Shooter Pack/firing rifle.fbx","Assets/ARTS/Slim Shooter Pack",192689,si
"Assets/ARTS/Slim Shooter Pack/idle aiming.fbx","Assets/ARTS/Slim Shooter Pack",255009,no
"Assets/ARTS/Slim Shooter Pack/idle crouching aiming.fbx","Assets/ARTS/Slim Shooter Pack",257265,si
"Assets/ARTS/Slim Shooter Pack/idle crouching.fbx","Assets/ARTS/Slim Shooter Pack",257265,no
"Assets/ARTS/Slim Shooter Pack/idle.fbx","Assets/ARTS/Slim Shooter Pack",259537,no
"Assets/ARTS/Slim Shooter Pack/jump down.fbx","Assets/ARTS/Slim Shooter Pack",182865,no
"Assets/ARTS/Slim Shooter Pack/jump loop.fbx","Assets/ARTS/Slim Shooter Pack",196897,no
"Assets/ARTS/Slim Shooter Pack/jump up.fbx","Assets/ARTS/Slim Shooter Pack",175521,no
"Assets/ARTS/Slim Shooter Pack/lego.fbx","Assets/ARTS/Slim Shooter Pack",107521,si
