Audicion de los sonidos del juego. Cada uno va seguido de 0,6 s de silencio.
segundo | sonido | duracion
   0,0 | Sfx_Shoot | 0,59 s
   1,2 | Sfx_Hit | 0,14 s
   1,9 | Sfx_Death | 4,50 s
   7,0 | Sfx_Order | 0,32 s
   8,0 | Sfx_Swap | 0,15 s
   8,7 | Sfx_EmptyClick | 0,16 s
   9,5 | Sfx_VehicleHit | 0,17 s
  10,2 | Sfx_CannonBody | 0,55 s
  11,4 | Sfx_CannonCrack | 0,07 s
  12,1 | Sfx_TurretReloaded | 0,09 s
  12,7 | Sfx_Wounded | 1,00 s
  14,3 | Sfx_Heartbeat | 0,22 s
  15,2 | Sfx_ImpactMetal | 0,48 s
  16,2 | Sfx_ImpactDirt | 0,14 s
  17,0 | Sfx_ImpactStone | 0,30 s
  17,9 | Sfx_BulletWhizz | 0,20 s
  18,7 | Sfx_FootstepGrass | 0,78 s
  20,1 | Sfx_FootstepConcrete | 0,11 s
  20,8 | Sfx_UiHover | 0,05 s
  21,4 | Sfx_UiClick | 0,38 s
  22,4 | Sfx_OrderBark | 0,64 s
  23,6 | Sfx_CameraSwoosh | 0,32 s
  24,6 | Sfx_CoverTake | 0,16 s
  25,3 | Sfx_CoverLost | 0,32 s
  26,2 | Sfx_HoloOn | 0,11 s
  26,9 | Sfx_SeatChange | 0,13 s
  27,7 | Sfx_BoardAll | 0,28 s
  28,6 | Sfx_ExitAll | 0,28 s
  29,4 | Sfx_FollowCall | 0,20 s
  30,2 | Sfx_Crouch | 0,09 s
  30,9 | Sfx_WeaponSwitch | 0,08 s
  31,6 | Sfx_Reload | 0,12 s
  32,3 | Sfx_Select | 0,07 s
  33,0 | Sfx_EnemySpotted | 0,22 s
  33,8 | Sfx_TankFire | 0,50 s
  34,9 | Sfx_TutKey | 0,05 s
  35,6 | Sfx_TutSub | 0,27 s
  36,4 | Sfx_TutStep | 0,44 s
  37,5 | Sfx_TutVictory | 1,28 s
  39,4 | Sfx_Explosion | 1,36 s
  41,3 | Sfx_GrenadePin | 0,34 s
  42,3 | Sfx_GrenadeThrow | 0,40 s
  43,3 | Sfx_GrenadeBounce | 0,24 s
  44,1 | Sfx_KnifeSwing | 0,26 s
  44,9 | Sfx_KnifeHit | 0,34 s
  45,9 | Sfx_Jump | 0,22 s
  46,7 | Sfx_Land | 0,30 s
  47,6 | Sfx_RadialOpen | 0,22 s
  48,4 | Sfx_RadialTick | 0,04 s
  49,1 | Sfx_RadialConfirm | 0,30 s
  50,0 | Sfx_RadialCancel | 0,18 s
  50,7 | Sfx_HealStart | 0,50 s
  51,8 | Sfx_HealDone | 0,70 s
  53,1 | Sfx_Revive | 0,95 s
  54,7 | Sfx_BombPlant | 0,45 s
  55,7 | Sfx_BombTick | 0,09 s
  56,4 | Disparo_Rifle | 0,59 s
  57,6 | Recarga_Rifle | 1,50 s
  59,7 | Desenfundar_Rifle | 0,40 s
  60,7 | Seco_Rifle | 0,12 s
  61,4 | Disparo_Pistol | 0,59 s
  62,6 | Recarga_Pistol | 1,00 s
  64,2 | Desenfundar_Pistol | 0,40 s
  65,2 | Seco_Pistol | 0,12 s
  65,9 | Disparo_Heavy | 0,59 s
  67,1 | Recarga_Heavy | 2,20 s
  69,9 | Desenfundar_Heavy | 0,40 s
  70,9 | Seco_Heavy | 0,12 s
  71,7 | Disparo_Smg | 0,59 s
  72,8 | Recarga_Smg | 1,60 s
  75,0 | Desenfundar_Smg | 0,40 s
  76,0 | Seco_Smg | 0,12 s
  76,8 | Disparo_Rocket | 1,90 s
  79,3 | Recarga_Rocket | 2,80 s
  82,7 | Desenfundar_Rocket | 0,40 s
  83,7 | Seco_Rocket | 0,12 s
  84,4 | Disparo_Shotgun | 0,59 s
  85,6 | Recarga_Shotgun | 2,40 s
  88,6 | Desenfundar_Shotgun | 0,40 s
  89,6 | Seco_Shotgun | 0,12 s
  90,3 | Disparo_Sniper | 0,59 s
  91,5 | Recarga_Sniper | 2,40 s
  94,5 | Desenfundar_Sniper | 0,40 s
  95,5 | Seco_Sniper | 0,12 s
