sonido,duracion_s,pico_dBFS,rms_dBFS,recorte_pct,dc,clic_inicio,clic_final,centroide_Hz,avisos
Sfx_Shoot,0.59,-0.61,-26.071,0,-0.002,0,0,1293.22,
Sfx_Hit,0.118,-0.414,-19.484,0,0,0.01,0.017,289.348,
Sfx_Death,4.5,-3.102,-17.951,0,0,0.002,0.001,674,
Sfx_Order,0.539,-4.068,-17.967,0,0,0,0,2890.526,
Sfx_Swap,0.15,-6.039,-13.246,0,0,0,0.026,1196.667,
Sfx_EmptyClick,0.165,-0.393,-18.504,0,0,0.57,0.001,3858.826,CLIC_INICIO
Sfx_VehicleHit,0.359,-0.405,-22.928,0,0,0.014,0.008,797.441,
Sfx_CannonBody,0.55,-6.178,-15.52,0,0.003,0,0.055,54.545,
Sfx_CannonCrack,0.07,-6.119,-15.593,0,0.001,0,0.013,1692.857,
Sfx_TurretReloaded,0.09,-6.138,-15.774,0,0.002,0,0.045,477.778,
Sfx_Wounded,0.5,-1.347,-17.944,0,0,0,0.004,1810,
Sfx_Heartbeat,0.219,-6.373,-15.096,0,0.006,0,0.04,54.795,
Sfx_ImpactMetal,0.252,-0.373,-19.49,0,0,0.026,0.003,1487.074,
Sfx_ImpactDirt,0.14,-0.403,-20.015,0,0,0.036,0.014,356.277,
Sfx_ImpactStone,0.3,-1.938,-18.627,0,0,0,0.019,3528.333,
Sfx_BulletWhizz,0.2,-3.098,-13.627,0,0,0,0,2310,
Sfx_FootstepGrass,0.778,-0.374,-29.197,0,0,0.007,0.002,242.421,
Sfx_FootstepConcrete,0.114,-0.385,-20.658,0,0,0.003,0.011,104.938,
Sfx_UiHover,0.055,-2.918,-18.015,0,0,0.002,0.01,1961.419,
Sfx_UiClick,0.043,-1.486,-17.976,0,0,0.012,0,2587.323,
Sfx_OrderBark,0.819,-4.861,-19.984,0,0.001,0.001,0.001,1595.595,
Sfx_CameraSwoosh,0.32,-2.499,-15.507,0,0,0,0,5657.813,
Sfx_CoverTake,0.159,-6.043,-14.192,0,0,0,0.017,650.943,
Sfx_CoverLost,0.319,-6.032,-15.26,0,0,0,0.028,155.172,
Sfx_HoloOn,0.109,-6.151,-14.497,0,0,0,0.03,1206.422,
Sfx_SeatChange,0.129,-6.083,-13.851,0,0,0,0.139,562.016,
